Symbol,Symbol,Name,AtomicNumber,AtomicWeight,Density,MeltingPoint,BoilingPoint,Electronegativity,Discovered
H,H,Hydrogen,1,1.0079,0.08988,13.99,20.271,2.2,1766
He,He,Helium,2,4.0026,0.1786,0.95,4.222,,1868
Li,Li,Lithium,3,6.938,0.534,453.65,1603,0.98,1817
Be,Be,Beryllium,4,9.01218,1.85,1560,2742,1.57,1798
B,B,Boron,5,10.806,2.08,2349,4200,2.04,1808
C,C,Carbon,6,12.0096,1.821,,,2.55,3750 BC
N,N,Nitrogen,7,14.0064,1.251,63.15,77.355,3.04,1772
O,O,Oxygen,8,15.999,1.429,54.36,90.188,3.44,1771
F,F,Fluorine,9,18.9984,1.696,53.48,85.03,3.98,1810
Ne,Ne,Neon,10,20.1797,0.9002,24.56,27.104,,1898
Na,Na,Sodium,11,22.9898,0.968,370.944,1156.09,0.93,1807
Mg,Mg,Magnesium,12,24.304,1.738,923,1363,1.31,1755
Al,Al,Aluminium,13,26.9815,2.7,933.47,2743,1.61,1825
Si,Si,Silicon,14,28.084,2.329,1687,3538,1.9,1823
P,P,Phosphorus,15,30.9738,1.823,,,2.19,1669
S,S,Sulfur,16,32.059,2.07,388.36,717.8,2.58,2000 BC
Cl,Cl,Chlorine,17,35.446,3.2,171.6,239.11,3.16,1774
Ar,Ar,Argon,18,39.792,1.784,83.81,87.302,,1894
K,K,Potassium,19,39.0983,0.862,336.7,1032,0.82,1807
Ca,Ca,Calcium,20,40.0784,1.55,1115,1757,1,1808
Sc,Sc,Scandium,21,44.9559,2.985,1814,3109,1.36,1879
Ti,Ti,Titanium,22,47.8671,4.506,1941,3560,1.54,1791
V,V,Vanadium,23,50.9415,6,2183,3680,1.63,1801
Cr,Cr,Chromium,24,51.9962,7.19,2180,2944,1.66,1794
Mn,Mn,Manganese,25,54.938,7.21,1519,2334,1.55,1774
Fe,Fe,Iron,26,55.8452,7.874,1811,3134,1.83,5000 BC
Co,Co,Cobalt,27,58.9332,8.9,1768,3200,1.88,1735
Ni,Ni,Nickel,28,58.6934,8.908,1728,3003,1.91,1751
Cu,Cu,Copper,29,63.5463,8.96,1357.77,2835,1.9,9000 BC
Zn,Zn,Zinc,30,65.382,7.14,692.68,1180,1.65,1000 BC
Ga,Ga,Gallium,31,69.7231,5.91,302.915,2673,1.81,1875
Ge,Ge,Germanium,32,72.6308,5.323,1211.4,3106,2.01,1886
As,As,Arsenic,33,74.9216,5.727,,,2.18,815
Se,Se,Selenium,34,78.9718,4.81,494,958,2.55,1817
Br,Br,Bromine,35,79.901,3.1028,265.8,332,2.96,1825
Kr,Kr,Krypton,36,83.7982,3.749,115.78,119.93,3,1898
Rb,Rb,Rubidium,37,85.4678,1.532,312.45,961,0.82,1861
Sr,Sr,Strontium,38,87.621,2.64,1050,1650,0.95,1787
Y,Y,Yttrium,39,88.9058,4.472,1799,3203,1.22,1794
Zr,Zr,Zirconium,40,91.2242,6.52,2128,4650,1.33,1789
Nb,Nb,Niobium,41,92.9064,8.57,2750,5017,1.6,1801
Mo,Mo,Molybdenum,42,95.951,10.28,2896,4912,2.16,1778
Tc,Tc,Technetium,43,98.9062,11,2430,4538,1.9,1937
Ru,Ru,Ruthenium,44,101.072,12.45,2607,4423,2.2,1844
Rh,Rh,Rhodium,45,102.906,12.41,2237,3968,2.28,1804
Pd,Pd,Palladium,46,106.421,12.023,1828.05,3236,2.2,1802
Ag,Ag,Silver,47,107.868,10.49,1234.93,2435,1.93,5000 BC
Cd,Cd,Cadmium,48,112.414,8.65,594.22,1040,1.69,1817
In,In,Indium,49,114.818,7.31,429.749,2345,1.78,1863
Sn,Sn,Tin,50,118.711,7.365,505.08,2875,1.96,3500 BC
Sb,Sb,Antimony,51,121.76,6.697,903.78,1908,2.05,815
Te,Te,Tellurium,52,127.603,6.24,722.66,1261,2.1,1782
I,I,Iodine,53,126.904,4.933,386.85,457.4,2.66,1811
Xe,Xe,Xenon,54,131.294,5.894,161.4,165.051,2.6,1898
Cs,Cs,Cesium,55,132.905,1.93,301.7,944,0.79,1860
Ba,Ba,Barium,56,137.328,3.51,1000,2118,0.89,1772
La,La,Lanthanum,57,138.905,6.162,1193,3737,1.1,1838
Ce,Ce,Cerium,58,140.116,6.77,1068,3716,1.12,1803
Pr,Pr,Praseodymium,59,140.908,6.77,1208,3403,1.13,1885
Nd,Nd,Neodymium,60,144.242,7.01,1297,3347,1.14,1885
Pm,Pm,Promethium,61,145,7.26,1315,3273,1.13,1942
Sm,Sm,Samarium,62,150.362,7.52,1345,2173,1.17,1879
Eu,Eu,Europium,63,151.964,5.264,1099,1802,1.2,1896
Gd,Gd,Gadolinium,64,157.253,7.9,1585,3273,1.2,1880
